+----------+-----------------+---------------+-----------------+----------+----------+------------+-----------+-----------------------+---------------------------+--------------------+--------------------+----------------------+---------------------+---------------------------------+--------------------------------+---------------------------------------------+
| PlayerID | PlayerTrueName  | PlayerTeams   | SimplePlusMinus | SimplePF | SimplePA | SimplePoss | SimpleMin | SimplePlusMinusPer200 | WeightedPlusMinusOffCourt | WeightedPFOffCourt | WeightedPAOffCourt | WeightedPossOffCourt | WeightedMinOffCourt | WeightedPlusMinusPer200OffCourt | WeightedPlusMinusPer200OnCourt | WeightedPlusMinusPer200OnCourtMinusOffCourt |
|       39 | Buckner         | DEN           |              13 |     3628 |     3615 |       7194 |   1758.00 |              0.361412 |                         6 |               4599 |               4593 |                 9077 |             2228.00 |                          0.1322 |                         0.3614 |                                      0.2292 |
|       40 | Mohammed        | SAN           |             133 |     2744 |     2611 |       5300 |   1388.03 |               5.01887 |                       424 |               5091 |               4667 |                 9967 |             2571.82 |                          8.5081 |                         5.0189 |                                     -3.4892 |
|       41 | D. Johnson      | DEN           |             -29 |     1859 |     1888 |       3758 |    923.82 |              -1.54337 |                        48 |               6368 |               6320 |                12513 |             3062.18 |                          0.7672 |                        -1.5434 |                                     -2.3106 |
|       42 | Elson           | DEN           |              62 |     3212 |     3150 |       6311 |   1579.33 |               1.96482 |                       -43 |               5015 |               5058 |                 9960 |             2406.67 |                         -0.8635 |                         1.9648 |                                      2.8283 |
|       44 | Webber          | PHL           |            -136 |     6008 |     6144 |      11630 |   2892.78 |              -2.33878 |                       -24 |               2139 |               2163 |                 4387 |             1088.22 |                         -1.0941 |                        -2.3388 |                                     -1.2447 |
|       45 | Redd            | MIL           |              79 |     6476 |     6397 |      12424 |   3134.38 |               1.27173 |                      -164 |               1544 |               1708 |                 3320 |              841.10 |                         -9.8795 |                         1.2717 |                                     11.1512 |
|       46 | Iverson         | PHL           |              -3 |     6572 |     6575 |      12626 |   3103.40 |            -0.0475208 |                      -157 |               1575 |               1732 |                 3391 |              877.60 |                         -9.2598 |                        -0.0475 |                                      9.2123 |
|       47 | T. Ford         | MIL           |              17 |     5150 |     5133 |      10056 |   2556.93 |              0.338107 |                      -102 |               2870 |               2972 |                 5688 |             1418.55 |                         -3.5865 |                         0.3381 |                                      3.9246 |
|       48 | Simmons         | MIL           |              41 |     5149 |     5108 |      10038 |   2543.93 |              0.816896 |                      -126 |               2871 |               2997 |                 5706 |             1431.55 |                         -4.4164 |                         0.8169 |                                      5.2333 |
|       49 | Bogut           | MIL           |              65 |     4706 |     4641 |       9186 |   2353.33 |                1.4152 |                      -150 |               3314 |               3464 |                 6558 |             1622.15 |                         -4.5746 |                         1.4152 |                                      5.9898 |
|       50 | S. Hunter       | PHL           |             -56 |     2639 |     2695 |       5226 |   1312.32 |              -2.14313 |                      -104 |               5508 |               5612 |                10791 |             2668.68 |                         -1.9275 |                        -2.1431 |                                     -0.2156 |
|       51 | Magloire        | MIL           |             -97 |     4843 |     4940 |       9536 |   2476.88 |               -2.0344 |                        12 |               3177 |               3165 |                 6208 |             1498.60 |                          0.3866 |                        -2.0344 |                                      -2.421 |
|       52 | Iguodala        | PHL           |              -3 |     6421 |     6424 |      12453 |   3085.92 |             -0.048181 |                      -157 |               1726 |               1883 |                 3564 |              895.08 |                         -8.8103 |                        -0.0482 |                                      8.7621 |
|       53 | Thomas          | CHI, PHL      |              20 |      320 |      300 |        632 |    150.20 |               6.32911 |                      -131 |               7900 |               8031 |                15573 |             3873.25 |                        -1.69095 |                        6.11745 |                                      7.8084 |
|       54 | Korver          | PHL           |             -56 |     5337 |     5393 |      10394 |   2562.78 |              -1.07754 |                      -104 |               2810 |               2914 |                 5623 |             1418.22 |                         -3.6991 |                        -1.0775 |                                      2.6216 |
|       55 | M. Williams     | MIL           |             -87 |     3131 |     3218 |       6201 |   1540.35 |                -2.806 |                         2 |               4889 |               4887 |                 9543 |             2435.13 |                          0.0419 |                         -2.806 |                                     -2.8479 |
|       56 | Gadzuric        | MIL           |             -43 |     1762 |     1805 |       3521 |    879.57 |              -2.44249 |                       -42 |               6258 |               6300 |                12223 |             3095.92 |                         -0.6872 |                        -2.4425 |                                     -1.7553 |
|       57 | Nailon          | CLE, PHL      |               0 |      498 |      498 |        954 |    237.20 |                     0 |                      -160 |               7649 |               7809 |                15063 |             3743.80 |                         -2.1244 |                              0 |                                      2.1244 |
|       58 | Kukoc           | MIL           |             -42 |     2115 |     2157 |       4119 |   1010.65 |              -2.03933 |                       -43 |               5905 |               5948 |                11625 |             2964.83 |                         -0.7398 |                        -2.0393 |                                     -1.2995 |
|       59 | Salmons         | PHL           |            -187 |     4166 |     4353 |       8318 |   2059.12 |              -4.49627 |                        27 |               3981 |               3954 |                 7699 |             1921.88 |                          0.7014 |                        -4.4963 |                                     -5.1977 |
|       60 | C. Bell         | MIL           |              16 |     2617 |     2601 |       5103 |   1285.95 |              0.627082 |                      -101 |               5403 |               5504 |                10641 |             2689.53 |                         -1.8983 |                         0.6271 |                                      2.5254 |
|       61 | Ollie           | PHL           |            -208 |     2015 |     2223 |       4218 |   1068.98 |              -9.86249 |                        48 |               6132 |               6084 |                11799 |             2912.02 |                          0.8136 |                        -9.8625 |                                    -10.6761 |
|       62 | Wells           | SAC           |             107 |     3553 |     3446 |       6716 |   1684.37 |               3.18642 |                        19 |               4553 |               4534 |                 9080 |             2281.63 |                          0.4185 |                         3.1864 |                                      2.7679 |
|       63 | J. Smith        | NOK           |            -116 |     1864 |     1980 |       3841 |    983.65 |              -6.04009 |                      -115 |               5747 |               5862 |                11527 |             2977.35 |                         -1.9953 |                        -6.0401 |                                     -4.0448 |
|       64 | Abdur-Rahim     | SAC           |             160 |     4091 |     3931 |       7768 |   1961.43 |               4.11946 |                       -34 |               4015 |               4049 |                 8028 |             2004.57 |                          -0.847 |                         4.1195 |                                      4.9665 |
|       65 | B. Miller       | SAC           |             229 |     6152 |     5923 |      11620 |   2923.48 |               3.94148 |                      -103 |               1954 |               2057 |                 4176 |             1042.52 |                          -4.933 |                         3.9415 |                                      8.8745 |
|       66 | P. Brown        | NOK           |            -163 |     4552 |     4715 |       9203 |   2380.28 |              -3.54232 |                       -68 |               3059 |               3127 |                 6165 |             1580.72 |                          -2.206 |                        -3.5423 |                                     -1.3363 |
|       67 | Stojakovic      | IND, SAC      |              72 |     5320 |     5248 |      10203 |   2601.35 |               1.41135 |                        90 |               5182 |               5092 |                10446 |             2636.12 |                         1.59231 |                        1.46348 |                                   -0.128835 |
|       68 | M. Bibby        | SAC           |             141 |     6632 |     6491 |      12704 |   3166.93 |               2.21977 |                       -15 |               1474 |               1489 |                 3092 |              799.07 |                         -0.9702 |                         2.2198 |                                        3.19 |
|       69 | D. West         | NOK           |            -164 |     4935 |     5099 |       9841 |   2526.13 |              -3.33299 |                       -67 |               2676 |               2743 |                 5527 |             1434.87 |                         -2.4245 |                         -3.333 |                                     -0.9085 |
|       70 | Paul            | NOK           |            -181 |     5465 |     5646 |      11066 |   2808.53 |              -3.27128 |                       -50 |               2146 |               2196 |                 4302 |             1152.47 |                         -2.3245 |                        -3.2713 |                                     -0.9468 |
|       71 | Nachbar         | NJN, NOK      |              -6 |      952 |      958 |       1917 |    500.55 |             -0.625978 |                      -165 |               6967 |               7133 |                14038 |             3614.98 |                        -2.42416 |                      -0.663987 |                                     1.76017 |
|       72 | Claxton         | NOK           |              45 |     3958 |     3913 |       7888 |   2018.90 |               1.14097 |                      -276 |               3653 |               3929 |                 7480 |             1942.10 |                         -7.3797 |                          1.141 |                                      8.5207 |
|       73 | Andersen        | NOK           |               7 |     1064 |     1057 |       2196 |    569.82 |              0.637523 |                      -238 |               6547 |               6785 |                13172 |             3391.18 |                         -3.6137 |                         0.6375 |                                      4.2512 |
|       74 | K. Thomas       | SAC           |             -34 |     4586 |     4620 |       9128 |   2292.92 |              -0.74496 |                       160 |               3520 |               3360 |                 6668 |             1673.08 |                           4.799 |                         -0.745 |                                      -5.544 |
|       75 | Hart            | SAC           |             -57 |     1498 |     1555 |       3202 |    817.60 |              -3.56027 |                       183 |               6608 |               6425 |                12594 |             3148.40 |                          2.9061 |                        -3.5603 |                                     -6.4664 |
|       76 | R. Butler       | NOK           |             -67 |     3628 |     3695 |       7232 |   1874.42 |              -1.85288 |                      -164 |               3983 |               4147 |                 8136 |             2086.58 |                         -4.0315 |                        -1.8529 |                                      2.1786 |
|       77 | K. Martin       | SAC           |              43 |     3945 |     3902 |       7728 |   1912.68 |               1.11284 |                        83 |               4161 |               4078 |                 8068 |             2053.32 |                          2.0575 |                         1.1128 |                                     -0.9447 |
|       78 | Skinner         | POR, SAC      |            -218 |     1692 |     1910 |       3702 |    943.70 |              -11.7774 |                      -250 |               6806 |               7056 |                13509 |             3478.88 |                         -3.9092 |                       -11.9307 |                                    -8.02149 |
|       79 | Mason           | NOK           |            -256 |     3956 |     4212 |       8245 |   2102.50 |              -6.20982 |                        25 |               3655 |               3630 |                 7123 |             1858.50 |                           0.702 |                        -6.2098 |                                     -6.9118 |
|       80 | Garcia          | SAC           |             -34 |     2544 |     2578 |       5205 |   1301.20 |              -1.30644 |                       160 |               5562 |               5402 |                10591 |             2664.80 |                          3.0214 |                        -1.3064 |                                     -4.3278 |
|       81 | Vroman          | NOK           |              20 |      777 |      757 |       1592 |    411.13 |               2.51256 |                      -251 |               6834 |               7085 |                13776 |             3549.87 |                          -3.644 |                         2.5126 |                                      6.1566 |
|       82 | Williamson      | SAC           |              24 |      707 |      683 |       1446 |    362.30 |                3.3195 |                       102 |               7399 |               7297 |                14350 |             3603.70 |                          1.4216 |                         3.3195 |                                      1.8979 |
|       83 | Bass            | NOK           |             -51 |      482 |      533 |       1029 |    268.35 |              -9.91254 |                      -180 |               7129 |               7309 |                14339 |             3692.65 |                         -2.5106 |                        -9.9125 |                                     -7.4019 |
|       84 | Macijauskas     | NOK           |              -8 |      239 |      247 |        510 |    134.50 |              -3.13725 |                      -223 |               7372 |               7595 |                14858 |             3826.50 |                         -3.0017 |                        -3.1373 |                                     -0.1356 |
|       85 | Price           | SAC           |             -34 |      265 |      299 |        603 |    149.93 |              -11.2769 |                       160 |               7841 |               7681 |                15193 |             3816.07 |                          2.1062 |                       -11.2769 |                                    -13.3831 |
|       86 | J. Johnson      | ATL           |            -376 |     6635 |     7011 |      13091 |   3339.77 |               -5.7444 |                       -15 |               1337 |               1352 |                 2573 |              636.23 |                          -1.166 |                        -5.7444 |                                     -4.5784 |
|       87 | B. Davis        | GOS           |              29 |     4129 |     4100 |       8001 |   1971.37 |              0.724909 |                      -140 |               3947 |               4087 |                 8073 |             1994.63 |                         -3.4684 |                         0.7249 |                                      4.1933 |
|       88 | Pachulia        | ATL           |            -228 |     4895 |     5123 |       9477 |   2452.33 |              -4.81165 |                      -163 |               3077 |               3240 |                 6187 |             1523.67 |                         -5.2691 |                        -4.8116 |                                      0.4575 |
|       89 | Murphy          | GOS           |            -126 |     5164 |     5290 |      10165 |   2516.40 |              -2.47909 |                        15 |               2912 |               2897 |                 5909 |             1449.60 |                          0.5077 |                        -2.4791 |                                     -2.9868 |
|       90 | J. Richardson   | GOS           |              41 |     6028 |     5987 |      11686 |   2876.90 |              0.701694 |                      -152 |               2048 |               2200 |                 4388 |             1089.10 |                          -6.928 |                         0.7017 |                                      7.6297 |
|       91 | Childress       | ATL           |            -189 |     4601 |     4790 |       8888 |   2248.80 |              -4.25293 |                      -202 |               3371 |               3573 |                 6776 |             1727.20 |                         -5.9622 |                        -4.2529 |                                      1.7093 |
|       92 | M. Dunleavy     | GOS           |             -53 |     5352 |     5405 |      10552 |   2577.48 |              -1.00455 |                       -58 |               2724 |               2782 |                 5522 |             1388.52 |                         -2.1007 |                        -1.0045 |                                      1.0962 |
