PlayerID	PlayerTrueName	Team	MinOnCourt	PossForOnCourt	PossOppOnCourt	PointsForOnCourt	PointsOppOnCourt	OffRtgOnCourt	DefRtgOnCourt	OverallRtgOnCourt	ORebForOnCourt	ORebOppOnCourt	DRebForOnCourt	DRebOppOnCourt	ORebRateOnCourt	DRebRateOnCourt	MinOffCourt	PossForOffCourt	PossOppOffCourt	PointsForOffCourt	PointsOppOffCourt	OffRtgOffCourt	DefRtgOffCourt	OverallRtgOffCourt	ORebForOffCourt	ORebOppOffCourt	DRebForOffCourt	DRebOppOffCourt	ORebRateOffCourt	DRebRateOffCourt	OverallRtgOnCourtMinusOffCourt	ORebRateOnCourtMinusOffCourt	DRebRateOnCourtMinusOffCourt
315	Jeffries, Jared	NYK	1273.8000	2524	2542	2682	2772	106.2599	109.0480	-2.7881	393	345	862	912	0.3011	0.7142	2543.2000	5193	5174	5635	5723	108.5115	110.6107	-2.0993	680	754	1773	1971	0.2565	0.7016	-0.6888	0.0446	0.0126
316	Jamison, Antawn	WAS	3024.8167	5807	5793	6128	6568	105.5278	113.3782	-7.8504	886	799	1962	2088	0.2979	0.7106	820.1833	1527	1531	1566	1707	102.5540	111.4958	-8.9417	228	256	500	524	0.3032	0.6614	1.0913	-0.0053	0.0492
317	Graham, Joey	TOR	1518.6500	2921	2930	3040	3170	104.0739	108.1911	-4.1172	406	395	1042	1033	0.2821	0.7251	2394.3500	4619	4624	4988	5094	107.9887	110.1644	-2.1756	562	658	1636	1667	0.2521	0.7132	-1.9416	0.0300	0.0119
318	James, Mike	NOH	73.9167	130	135	111	160	85.3846	118.5185	-33.1339	16	27	42	56	0.2222	0.6087	3733.0833	6856	6857	7494	7306	109.3057	106.5481	2.7577	919	961	2466	2446	0.2731	0.7196	-35.8916	-0.0509	-0.1109
318	James, Mike	WAS	1503.1500	2882	2865	2968	3221	102.9840	112.4258	-9.4418	448	377	966	1059	0.2973	0.7193	2341.8500	4452	4459	4726	5054	106.1545	113.3438	-7.1893	666	678	1496	1553	0.3001	0.6881	-2.2525	-0.0028	0.0312
319	Bosh, Chris	TOR	2883.6500	5539	5552	6026	6106	108.7922	109.9784	-1.1862	694	792	1956	1956	0.2619	0.7118	1029.3500	2001	2002	2002	2158	100.0500	107.7922	-7.7422	274	261	722	744	0.2692	0.7345	6.5560	-0.0073	-0.0227
321	Daniels, Antonio	NOH	722.0667	1289	1279	1274	1422	98.8363	111.1806	-12.3443	167	179	430	512	0.2459	0.7061	3084.9333	5697	5713	6331	6044	111.1287	105.7938	5.3349	768	809	2078	1990	0.2785	0.7198	-17.6792	-0.0326	-0.0137
321	Daniels, Antonio	WAS	288.2167	529	523	570	632	107.7505	120.8413	-13.0908	83	73	173	190	0.3040	0.7033	3556.7833	6805	6801	7124	7643	104.6877	112.3805	-7.6928	1031	982	2289	2422	0.2986	0.6998	-5.3980	0.0054	0.0035
322	Haywood, Brendan	WAS	175.4000	337	339	352	380	104.4510	112.0944	-7.6434	47	47	127	114	0.2919	0.7299	3669.6000	6997	6985	7342	7895	104.9307	113.0279	-8.0972	1067	1008	2335	2498	0.2993	0.6985	0.4538	-0.0074	0.0314
323	Thomas, Etan	WAS	305.6667	559	553	547	648	97.8533	117.1790	-19.3257	93	93	175	212	0.3049	0.6530	3539.3333	6775	6771	7147	7627	105.4908	112.6422	-7.1514	1021	962	2287	2400	0.2985	0.7039	-12.1743	0.0064	-0.0509
