PlayerID	PlayerTrueName	Team	MinOnCourt	PossForOnCourt	PossOppOnCourt	PointsForOnCourt	PointsOppOnCourt	OffRtgOnCourt	DefRtgOnCourt	OverallRtgOnCourt	ORebForOnCourt	ORebOppOnCourt	DRebForOnCourt	DRebOppOnCourt	ORebRateOnCourt	DRebRateOnCourt	MinOffCourt	PossForOffCourt	PossOppOffCourt	PointsForOffCourt	PointsOppOffCourt	OffRtgOffCourt	DefRtgOffCourt	OverallRtgOffCourt	ORebForOffCourt	ORebOppOffCourt	DRebForOffCourt	DRebOppOffCourt	ORebRateOffCourt	DRebRateOffCourt	OverallRtgOnCourtMinusOffCourt	ORebRateOnCourtMinusOffCourt	DRebRateOnCourtMinusOffCourt
713	Richard, Chris	CHI	5.0333	11	10	12	8	109.0909	80.0000	29.0909	1	1	5	6	0.1429	0.8333	234.9667	455	455	473	523	103.9560	114.9451	-10.9890	83	65	160	174	0.3230	0.7111	40.0799	-0.1801	0.1222
714	Durant, Kevin	OKC	231.1667	446	444	464	464	104.0359	104.5045	-0.4686	89	87	159	169	0.3450	0.6463	56.8333	99	101	99	109	100.0000	107.9208	-7.9208	13	23	40	42	0.2364	0.6349	7.4522	0.1086	0.0114
715	Green, Jeff	OKC	223.6167	421	420	421	452	100.0000	107.6190	-7.6190	84	87	147	169	0.3320	0.6282	64.3833	124	125	142	121	114.5161	96.8000	17.7161	18	23	52	42	0.3000	0.6933	-25.3351	0.0320	-0.0651
734	Fernandez, Rudy	POR	119.1167	218	215	236	267	108.2569	124.1860	-15.9292	39	42	68	78	0.3333	0.6182	168.8833	306	308	322	353	105.2288	114.6104	-9.3816	64	63	102	118	0.3516	0.6182	-6.5476	-0.0183	0.0000
735	Bayless, Jerryd	POR	165.8000	302	305	314	349	103.9735	114.4262	-10.4527	59	69	103	115	0.3391	0.5988	122.2000	222	218	244	271	109.9099	124.3119	-14.4020	44	36	67	81	0.3520	0.6505	3.9493	-0.0129	-0.0517
736	Batum, Nicolas	POR	138.7000	250	250	279	293	111.6000	117.2000	-5.6000	45	49	87	95	0.3214	0.6397	149.3000	274	273	279	327	101.8248	119.7802	-17.9554	58	56	83	101	0.3648	0.5971	12.3554	-0.0434	0.0426
748	Koufos, Kosta	UTA	30.6500	61	62	63	55	103.2787	88.7097	14.5690	14	11	27	22	0.3889	0.7105	449.3500	883	887	1008	1038	114.1563	117.0237	-2.8674	164	165	278	296	0.3565	0.6275	17.4364	0.0324	0.0830
754	Augustin, D.J.	CHA	72.7000	124	122	126	116	101.6129	95.0820	6.5309	27	20	50	43	0.3857	0.7143	119.3000	217	219	216	263	99.5392	120.0913	-20.5522	36	44	74	76	0.3214	0.6271	27.0831	0.0643	0.0872
755	Rose, Derrick	CHI	212.4667	416	416	435	489	104.5673	117.5481	-12.9808	76	57	144	158	0.3248	0.7164	27.5333	50	49	50	42	100.0000	85.7143	14.2857	8	9	21	22	0.2667	0.7000	-27.2665	0.0581	0.0164
756	Hickson, J.J.	CLE	79.0333	150	159	147	174	98.0000	109.4340	-11.4340	19	27	49	55	0.2568	0.6447	448.9667	870	866	955	914	109.7701	105.5427	4.2274	139	158	326	303	0.3145	0.6736	-15.6614	-0.0577	-0.0289
